Trial,Bandit,Reward,Algorithm
530,4,0.4,ThompsonSampling
531,4,0,ThompsonSampling
532,4,0.4,ThompsonSampling
533,4,0.4,ThompsonSampling
534,4,0,ThompsonSampling
535,4,0.4,ThompsonSampling
536,4,0.4,ThompsonSampling
537,4,0,ThompsonSampling
538,4,0.4,ThompsonSampling
539,4,0,ThompsonSampling
540,4,0,ThompsonSampling
541,3,0,ThompsonSampling
542,4,0,ThompsonSampling
543,4,0,ThompsonSampling
544,4,0.4,ThompsonSampling
545,4,0.4,ThompsonSampling
546,4,0.4,ThompsonSampling
547,4,0.4,ThompsonSampling
548,4,0,ThompsonSampling
549,4,0.4,ThompsonSampling
550,4,0.4,ThompsonSampling
551,4,0,ThompsonSampling
552,4,0,ThompsonSampling
553,4,0,ThompsonSampling
554,4,0,ThompsonSampling
555,4,0.4,ThompsonSampling
556,4,0.4,ThompsonSampling
557,4,0.4,ThompsonSampling
558,4,0.4,ThompsonSampling
559,4,0.4,ThompsonSampling
560,4,0,ThompsonSampling
561,4,0,ThompsonSampling
562,4,0,ThompsonSampling
563,4,0,ThompsonSampling
564,4,0,ThompsonSampling
565,4,0,ThompsonSampling
566,4,0,ThompsonSampling
567,4,0,ThompsonSampling
568,4,0,ThompsonSampling
569,4,0,ThompsonSampling
570,4,0.4,ThompsonSampling
571,4,0,ThompsonSampling
572,4,0,ThompsonSampling
573,4,0,ThompsonSampling
574,4,0.4,ThompsonSampling
575,4,0,ThompsonSampling
576,4,0,ThompsonSampling
577,4,0,ThompsonSampling
578,4,0,ThompsonSampling
579,4,0.4,ThompsonSampling
580,4,0,ThompsonSampling
581,4,0,ThompsonSampling
582,4,0,ThompsonSampling
583,4,0,ThompsonSampling
584,3,0,ThompsonSampling
585,4,0.4,ThompsonSampling
586,4,0,ThompsonSampling
587,4,0.4,ThompsonSampling
588,4,0,ThompsonSampling
589,4,0,ThompsonSampling
590,4,0.4,ThompsonSampling
591,4,0,ThompsonSampling
592,4,0.4,ThompsonSampling
593,4,0,ThompsonSampling
594,4,0.4,ThompsonSampling
